name,popularity,price,rating,distance,latitude,longitude,stationId,totalBikes,poiCat
Chicago's Margies Maxwell Street,,,,744.0,41.8954359,-87.7335726,9593e64dcb3fb6379f63506fef3c1ceb,9.0,restaurant
Mel's Place,,,,792.0,41.8954359,-87.7335726,9593e64dcb3fb6379f63506fef3c1ceb,9.0,restaurant
La Cocina de Alicia,,,,876.0,41.8954359,-87.7335726,9593e64dcb3fb6379f63506fef3c1ceb,9.0,restaurant
Andy's Deli Butcher Shop,,,,888.0,41.8954359,-87.7335726,9593e64dcb3fb6379f63506fef3c1ceb,9.0,restaurant
Bot Bakery,3.14,1.0,,30.0,41.766206,-87.562789,ecf78f0497d2e8b17f4ed51e58ef8572,2.0,restaurant
Majani Soulful Vegan Cuisine,,,,236.0,41.766206,-87.562789,ecf78f0497d2e8b17f4ed51e58ef8572,2.0,restaurant
Majani Restaurant,9.68,2.0,83.0,256.0,41.766206,-87.562789,ecf78f0497d2e8b17f4ed51e58ef8572,2.0,restaurant
Chef Sara's Cafe,8.93,2.0,77.0,266.0,41.766206,-87.562789,ecf78f0497d2e8b17f4ed51e58ef8572,2.0,restaurant
Parrot Cage Restaurant,8.41,2.0,,268.0,41.766206,-87.562789,ecf78f0497d2e8b17f4ed51e58ef8572,2.0,restaurant
Parrot Cage - Washburne Culinary Institute,,,,291.0,41.766206,-87.562789,ecf78f0497d2e8b17f4ed51e58ef8572,2.0,restaurant
Kennedy Fish & Chicken,9.59,1.0,58.0,301.0,41.766206,-87.562789,ecf78f0497d2e8b17f4ed51e58ef8572,2.0,restaurant
Ming Chop Suey,8.73,1.0,79.0,322.0,41.766206,-87.562789,ecf78f0497d2e8b17f4ed51e58ef8572,2.0,restaurant
Hoagy House & Hm-The Famous,,,,324.0,41.766206,-87.562789,ecf78f0497d2e8b17f4ed51e58ef8572,2.0,restaurant
Hoagy House,9.06,1.0,,330.0,41.766206,-87.562789,ecf78f0497d2e8b17f4ed51e58ef8572,2.0,restaurant
Mesler Kitchen | Bar | Lounge,,,,318.0,41.79933626261,-87.6009581145,72a821f75c5a0bac7068547cf16b11c5,10.0,restaurant
